title,body,visibility,tags
please do not cheat,hi all speaking on behalf of the entire course staff we all want you to succeed in this course my primary goal this semester is to see you all become machine learning experts and demonstrate that ability on the homework and exams it has come to my attention that there may be submissions for hw which appear to violate our course policy specifically it appears as though we have received duplicate code from more than one pair of students at this time we are still investigating the matter as such we will likely not be able to notify those students prior to the hw deadline this is of the utmost importance because our course policy dictates that two incidents of cheating e g duplicate code submission will lead to automatic failure in the course we are unable to waiver on this policy in order to be fair to the students who have worked diligently without cheating i encourage each of you to please re read our entire course policy on collaboration on the course website this was carefully written to express our values for your education and assessment pay particular attention to the section duty to protect one's work if the language is unclear you could additionally watch the video from lecture on this topic you could even ask questions after class on monday or wednesday if you believe that you have submitted the same code as another student for hw in part or in full please contact me via email as soon as possible though coming forward will not lessen the penalty it will act as a demonstration of your integrity further it will enable me to work with you to ensure that it does not happen a second time dealing with each suspected incident of cheating takes an enormous amount of time on the part of the course staff that is time that we would otherwise be spending preparing exam questions fine tuning and testing homeworks or thinking through how to more carefully explain the material in lectures and recitations we do not want you to cheat both for you own good and for the good of this course please do not cheat sincerely matt pin,public,other
lecture videos panopto folder,hi all i just wanted to reiterate that the lecture videos appear in the folder linked below as soon as they are uploaded this is usually by pm on the same day as the lecture the easiest way to find them is to click the link twice the first time you will log in with your andrew id and see an empty folder the second time it will take you directly to the list of videos all lecture videos panopto folder https scs hosted panopto com panopto pages sessions list aspx folderid c f e fd f f b e cd dfb fyi i also added links on the schedule page of our website to individual videos however you should always just look for the latest videos directly in the panopto folder since they will usually appear there a few days before i get them linked in the schedule of course we strongly prefer that you attend class in person see however if you are unable to for some reason you are also welcome to catch up via the video cheers matt pin,public,videos
recitation schedule and slides,please find recitation schedule here you can access slides and other materials from the recitations here pin,public,logistics
resources for math review,the table below contains some of the lecture materials from the course math background for machine learning the material contained in these lecture notes represents a good portion of the knowledge we expect you to come into this course with particularly related to the math background not as much the computer science while our background exercises were created to try to cover the majority of this material the following notes contain detailed explanations of a wider breadth of topics we strongly suggest that you review them lecture topiclecture notessetssets lecture notestypesdata types and functionslogicpropositional logicprobability probability probability factored distributions mean and variance linear algebra functions and function spaces vector spaces vector spaces and dimension geometry of functions matrices and linear operators linear equations matrix calculus vector space examples matrix differentials working with differentials second and higher differentials working with differentials ii statistics and inference continuous random variables statistical inference the lists below contain some additional resources for reviewing probability and linear algebra these come from a variety of sources but are all very thorough probability probability cheatsheet blitzstein chenprobability review slides rob hall linear algebra linear algebra review notes zico kolter linear algebra review videos zico kolter matrix cookbook notes petersen pederson pin,public,hw1
course website,hi all the course website is here http www cs cmu edu mgormley courses s matt pin,public,logistics
rs writeup analysis of results,what would be things to write in the analysis of results section of the gradescope writeup for the rs task thank you,public,hw9
cv and rs autograder up,hi all the new version of cv and rs autograder is ready you can see your new final scores on autolab now if you have any questions please leave a message under this post good luck hw team,public,hw9
rs missing,what should we do about users that have rated no movie or movies that was not rated by any user thanks,public,hw9
nlp unable to get f score,i have stored the test data set columns in a csv and my predicted labels column in another when i use the comparetwo function it gives me a weird result instead of the f score comparetwo 'test csv' 'predict csv' b'' am i giving the correct inputs to the function can someone help me figure this out thanks,public,hw9
changes to hw grading scheme,hi all we are making three important changes to the way grades for hw will be assigned the changes the changes to your grades will all be monotonically increasing that is no one's grade will go down for all three tasks we will interpolate between the current grade thresholds in the current grading scheme a submission with a rmse would receive an but a rmse would receive a our new interpolation scheme will ensure that these two submissions receive more similar grades for the nlp task only we will slightly adjust the thresholds required to obtain the corresponding grades this will not hurt your grade the purpose of this change is to reflect the abundance of tuning and feature engineering that is required to get top performance on this task some students have put forth a substantial effort towards this assignment but still haven't been able to obtain good performance on autolab we will be adding a new grading scheme that applies to all students let alpha denote the autolab score and beta denote the gradescope report score the old grading scheme computed your score as alpha beta under the new scheme we will compute your grade as max alpha beta min alpha beta in words the highest grade you can receive from the alternate report focused scheme is the purpose of this change is to ensure that if you put in a substantial effort towards training interesting models tuning hyperparameters doing appropriate pre processing and feature engineering and reporting your results then you will still be able to get an a grade on this assignment our assessment of that significant effort will be through our grading of your gradescope report the changes for and will take some time to put into place we will send a followup announcement when these changes are live on autolab some comments it is my strong preference to think of a grading scheme as a contract the assignment specifies the work to be done and the grade that you receive for doing it i recognize that for those of you who were already well on your way to receiving a on this assignment a change of contract of this variety is simply unfair that is you could have potentially expended slightly less effort for a slightly worse grade if you had this information earlier you have my utmost apologies these changes were not put into place specifically for you rather the goal of these changes is to ensure that we do not give out unfairly low grades to students who put forth a substantial effort but who have thus far been unable to achieve a high score on autolab our goal was to expose you to the very real challenges of getting machine learning algorithms to work on real world problems i believe these changes to the grading scheme will more accurately reflect that goal if you have any concerns about these changes i encourage you to chat with me after class on wednesday or at my office hours on thursday cheers matt,public,hw9
how to submit regrade request in gradescope,in the course website it says if you believe an error was made during manual grading you ll be able to submit a regrade request on gradescope can someone explain how exactly i can submit a regrade request in gradescope thank you,public,logistics
q in homework,in the solution it says v pc x but in the matlab code it say x reduced unbiased x u n components i'm very confused so should it be pc v x also in some references it says vv t i is this correct and why,public,hw6
cv how many iterations do we need to train the model,now with my deep cnn zca whitening and data augmentation implemented with keras i still can't achieve the baseline if i just use a simple cnn my accuracy would be around which is also below the claimed baseline any suggestions on what might be the problem we ran like iterations is it not enough thank you,public,hw9
data augmentation,hey currently i have an accuracy of when i add data augmentation and zca whitening i'm getting an accuracy of did anyone else face this problem if so can you give me some insight as to how i must proceed thanks in advance,public,hw9
how to determine what k should be,hi i'm starting to do the matrix factorization method and i currently have r the sparse matrix with the rows as the users and the columns as the movies i'm wondering how to divide this matrix into the two matrices u and v specifically what k should be and given k what the entries should be within each matrix,public,hw9
rs k value of latent factor matrix,can anyone give some hints about how to find k value of latent factor matrix do i just randomly select an interval of k and run algorithm to compare which one give me lowest rmse of validation set thanks,public,hw9
rs als number of iterations,hi i know that als converges faster than sgd but what would be a good approx number of epochs iterations the als algo should run for thanks,public,hw9
is it possible that the validation rmse keep on increasing while the train rmse decreasing,i attended today's ta session for rs and implement als based on the ta session but now i am facing that the validation rmse just keep on increasing each iteration although the train rmse is decreasing,public,hw9
what's the difference between using a validation set and adding number of iteration,from my perspective both methods aim to increase the accuracy and cross validation is just iterating over the training set for multiple times in one epoch so what's the purpose of using a validation set,public,hw9
are the team members need to submit a single report for hw,are the team members need to submit a single report for hw,public,hw9
build on found code,for this particular homework if we found code that implements part of the assignment for example preprocessing of the data would we be able to edit and build on the code to complete the task as long as we cite our sources,public,hw9
install tensorflow io error in aws,when i try to use aws and install tensorflow on it the following error occurs ioerror errno no usable temporary directory found in ' tmp' ' var tmp' ' usr tmp' ' home ubuntu' i googled the error and i don't really understand the solution and it may be due to insufficient space but i literally only have the data and the code in aws and maybe the packages i need installed and none of the solutions to solve this that i found online make sense to me aka i don't understand the code and where to put it run it help pls edit resolved,public,hw9
hw cv keras running out of memory,i have a convnet built using keras theano that seems to be correctly classifying most images to improve the classification i tried changing features of the neural network but i would also like to add more epochs to the convnet training phase the problem is that the memory usage increases after every epoch the convnet is trained on and it runs out of all gb of memory after about epochs has anyone run into the same keras memory issue or does anyone know a workaround fix to prevent keras from using so much memory,public,hw9
feature engineering,can anyone define and give an example of feature engineering in our gradescope writeup should tuning hyperparameters be mentioned in the model implemented section thank you,public,hw9
als is not working,after first initialization the rmse never change or even increase after iterations but according to what we learnt the als is guaranteed to converge to local minimum did anyone also facing this issue do anyone has any idea about how to constrain non negative using als do anyone reach or below i used als nmf i wrote all of them and also build in function none of them can stably even reach just wondering is there any suggestions,public,hw9
reinforcement learning lecture,in the slides of the reinforcement learning lecture it seems that current v pi s q pi s a needs to be calculated based on future v and q which is v pi s' q pi s' a' my question is how this can be done if we need future information to calculate the present value,public,other
nlp need help with word vec,i am struggling to understand how to apply word vec and use the vector representations can someone assist with installing and using word vec or even glove for our data set in python i converted the data set into the desired format i e each sentence is an element in a list but i get the following error traceback most recent call last file line in file c anaconda lib site packages gensim py win amd egg gensim models word vec py line in init self build vocab sentences trim rule trim rule file c anaconda lib site packages gensim py win amd egg gensim models word vec py line in build vocab self scan vocab sentences progress per progress per trim rule trim rule initial survey file c anaconda lib site packages gensim py win amd egg gensim models word vec py line in scan vocab vocab word typeerror unhashable type 'list' thanks,public,hw9
rs loss decreasing but nothing happens to rmse,hi we are trying out russ's probabilistic matrix factorization approach now our loss function is definitely reducing steadily but the rmse doesn't budge at all what can we do any comments train loss train rmse validset loss validset rmse train loss train rmse validset loss validset rmse train loss train rmse validset loss validset rmse train loss train rmse validset loss validset rmse train loss train rmse validset loss validset rmse,public,hw9
rs movies that appear in the testing dataset but not in the training dataset,when i tried to create the output file for autolab there appeared to be movie ids that existed in the testing dataset but not in the training dataset what should we do about these predictions these are the movie ids that i found were in the testing dataset but not in the training dataset,public,hw9
gradescope submit,in the write up for submitting on gradescope we are given the instruction as in autolab click group options under options and in gradescope see https youtu be alesbkel zk t s for a demonstration of how to submit as a group however in the video link there is an assignment option where we could choose to create a group while we do not find the option in our current gradescope dashboard any other encountering the same problem,public,hw9
cv matlab incorrect labels on test data,i could be missing something big here i am parsing the data from the train and test set the exact same way yet visualizing the test data shows images that are not reflected by the labels in results csv is there something different about how the test data is processed is results csv not labeled data but just a sample output of the format our data should be in,public,hw9
grades and solution for the previous homeworks,when would we tentatively get the final scores of hw and can we get the solutions of all the homeworks before the final exam,public,hw6 hw7 hw8 exam
setting partners for gradescope,how do we set partners for gradescope,public,hw9
any suggestion on rs using als,i am working on rs using als now but now matter how i change the rank and max iteration the rmse quickly converge to or some value near here i am not sure what's wrong with the implementation is anyone can give some suggestion on this,public,hw9
change to brynn's office hours,hi all unfortunately i will not be able to hold office hours this week but wei has offered to cover them in my place they are still scheduled from but will be held in the th floor lounge outside warm regards brynn,public,logistics
rs how to create validation set,hi how can we create the validation set in matrix factorization thanks,public,hw9
rs non negative constraint,is non negative constraint making u and v have only non negative entries do we just change all negative entries of u and v to after computing u and v thank you,public,hw9
hw report template,hi is hw report template provided thanks,public,hw9
extra office hour for recommendation system am,due to high volume of questions for recommendation system task i will hold an extra office hour for recommendation system on tuesday am am ghc simon du,public,logistics hw9
final exam scope,hi all i've had a few questions about whether this week's material will be covered on the exam everything up to and including today's lecture is fair game for the final exam wednesday's lecture will be a review warm regards course staff,public,exam
how to prepare the final exam,as title,public,exam
question about due date of hw,hi sir i have checked the due date of pdf and found it's but the due date on the autolab is which one is the real due date,public,hw9
rmse for training and testing in recommender system,i used svd and the rmse for training dataset can be but the rmse for testing dataset is more than could anyone tell me why the rmse for testing dataset is such large,public,hw9
using simple regression for reco system,why don't we use simple linear regression for reco system here we can prepare the train and test dataset using the given rating matrix train set would be known ratingstest set would be unknown ratingsfeature would be the user and movie attributeseg age occupation sex genre ratings i think this approach would work i just want to know what are the disadvantages of using this over matrix factorization thanks,public,hw9
rs what is the intuitive meaning of constraints like non negativity,does constraints like non negativity means the latent matrix should contains all positive values why we need to do this what is the intuitive meaning of being all positive semi positive or else,public,hw9
hw write up page limit,for hw report we slightly exceeded the page limit into rd page due to graphs is it fine or should we stick to pages hard limit,public,hw9
will there be different review lectures for different section,will there be different review lectures for different section if no what timeslot sectiona or sectionb should the review lecture be held,public,exam logistics
gradescope exceeding pages,hi i tried to describe my work and the work flow in the pdf and i found if i want to have the work described in detail the pages limit will be easily exceeded do i have to follow the pages limit mandatory,public,hw9
rs als on whole matrix,when we use als for each iteration i'm updating u by updating each row of u and i'm updating v by updating each column of v because we can only rely on the observed i j in z each iteration takes a lot of time do i have to update u and v by updating the whole matrix u at once and updating the whole matrix v at once,public,hw9
matt's office hours last week thu,hi all if you tried to attend my office hours last week you would have found that i wasn't there i'm terribly sorry i wasn't able to provide advance notice of my absence from campus that day if you were one of the unlucky few who were waiting for me you have my utmost apologies i hope you were able to make one of our ta office hours instead see you on monday cheers matt,public,logistics
rs sgd,when performing sgd for rs should we pick our matrix indexes randomly to perform the updates or should we step through each index like we did in every sgd hw,public,hw9
how long does it take to train the data set for cifar,could someone please let me know if you're using keras approximately how many epochs and batches are you using to train the data and how long it takes and what accuracy you are achieving,public,hw9
cifar cnn accuracy low,i built a cnn with total layers with preprocessing of the data and dropout among other things similar to my training and validation accuracy are low stuck at around this is clearly not a simple convnet in the writeup a simple convnet is supposed to get how were these baseline accuracies obtained they seem greatly exaggerated so far i've compared upwards of different architectures tuning different parameters for whitening parameter initialization etc yet i'm not getting the results one should expect to see are there any resources you can point us to or recommendations for which hyperparameters are most meaningful i understand the purposes of this assignment is to discover this for ourselves but even so the benchmarks in place seem too high given a one week assignment thank you so much,public,hw9
no permission to download software onto cluster machine,i was trying to install tensor flow on machines in the wean hall cluster and i faced several issues on mac as well as pc is it that we are not allowed to modify those systems or did i miss a crucial step like creating a new python environment or using a docker,public,hw9
rs solve als faster,for rs i am using als i computed the update formula and made my function operate that formula for each update that includes matrix inverse and doing matrix multiplication each iteration takes too long time is there some other faster way of solving the least square other than computing the formula and actually do the matrix operations,public,hw9
non negative constraint,in recommender system what's the advantage of non negative constraint,public,hw9
bug in the comparetwo code,i'm doing the nlp task and i tried to use the comparetwo code but it keeps telling me index out of bound i was wondering if there's a bug in the code for the predicted label and test label files how exactly am i supposed to write them in the csv,public,hw9
slved,solved,public,hw9
rs sgd tuning learning parameter,hi if i'm using sgd for the matrix factorization method in reco systems what is an approximate value of the learning parameter or do we need to tune this parameter as well if so what is a min and max range of the values we need to consider any pointers towards this would be highly appreciated thanks,public,hw9
questions about the cv dataset cifar,in this homework we are giving a small part of cifar dataset is the test set of our dataset comes from the test set of the original cifar dataset or it comes from the training set of the original cifar dataset the case is that i use the original cifar training dataset to train my model i hope given more images the model could learn high quality features then i use this model to predict the class of the hw 's test dataset then only thing i need to do is to change the class to the class which is suitable to our dataset let's say the vehicle is in the original dataset i only need to change the class to so that it would be compatible to our test set it seems that i am getting accuracy i have not submitted the final result yet i am pretty sure that i only use the training dataset of cifar classes to train my model the only thing that comes to my mind is that the test set of this homework maybe a subset of the original cifar training dataset is that possible for ta or professor or anyone to answer my question please thanks,public,hw9
weird predictions with keras zca whitening cv,i am using keras to build my cv model but the problem is whenever i use zca whitening i get weird predictions for example it will only predict either or classes not all the training accuracy was and if i remove it then i get sensible predictions but on the test data i only got an accuracy of and according to the scoring rubric i need at least accuracy what are my options here,public,hw9
rs negative values for latent factors,hi if i am getting negative values in my latent factor matrices for user and movies how should i deal with them shall i make them or thanks,public,hw9
aws credit codes,how do we put in the aws credit codes as in where exactly is the option,public,hw9
rs non negative matrix factorization what could cause the error to exponentially increase,i read the paper regarding non negative matrix factorization more times than i am proud to admit however i think that at the end is a simple change with respect to the original algorithm the only change that i'm making based on the following two equations is changing my update alpha according to equation number and now my alpha is alpha frac u i u i t cdot u i cdot v j however when i do that my error rate start increasing exponentially instead of decreasing is my approach incorrect is there any other thing which i should take into account,public,hw9
rs using als,i used the als and each iteration is really slow for every iteration i update each row of u that corresponds to each user where i fix the columns of v the items which the user's ratings are observed also i update each column of v that corresponds to each item where i fix the rows of u the users whose ratings on that item are observed am i missing something thank you,public,hw9
cv applying zca whitening using keras,hi i am using keras's imagedatagenerator to apply zca whitening on the input image batches codes as following datagen imagedatagenerator zca whitening true datagen fit xtrain it gives me following error would anyone help me with this problem thanks,public,hw9
rs matrix factorization initialization of u and v before sgd,how should u and v be initialized before running sgd,public,hw9
rs als vector,when using als for updating user matrix we need the vector of all the ratings on every item from the particular user how should we do this if we have missing entries for the vector,public,hw9
rs how can i go about using user attributes and movie attributes,how do i incorporate user attributes and movie attributes in my matrix factorization,public,hw9
how to run keras on gpu failure and successful experience included share welcomed,hi all i keep trying to run keras on gpu and i failed multiple times here i want to share with you my failure experience and the walkaround to achieve my goal to begin we can run keras with tensorflow backend on gpu if any available gpu is detected failure i try to install all related dependencies on aws gpu machine that's torturing i follow the guide here http ramhiser com installing tensorflow on an aws ec instance with gpu support and find it's time consuming and it will cause version conflict in short build environment from scratch is not recommended if you don't have prior experience don't do that failure tensorflow recommends using its official docker image perfect docker guide https www digitalocean com community tutorials how to install and use docker on ubuntu wow that's awesome so i follow the guide here https github com floydhub dl docker what is docker and here https gist github com wangruohui df f dc d f d d aa d and find the only setup is to install nvidia driver on my aws machine but that finally requires me turn off the secure boot of the machine which is impossible at least for now i cannot figure out how to do this on cloud machine but on your own linux machine it's easy to do that failure my friend recommends using already setup aws machine where i can buy from aws ami marketplace by simply search deep learning ami and all necessary libraries tensorflow theano caffe mxnet and of course nvidia stuff etc are installed on the machine created from that ami it looks good isn't it but aws starts to limit gpu instances that i can launch which is annoying it tells me the upper limit of gpu instance i can launch is excuse me so i send message to customer support and they don't response yet wow this is a good way to do and i will try it later if i get higher limit success using floyd search floyd deep learning and you will find it https www floydhub com really handy the only thing you need to do is to install its cli and then you can run keras on floyd's gpu with one line command only thing to keep in mind is that it supports only keras and tensorflow now so remember to modify your code if you use keras and tensorflow it makes each epoch of training x faster than my own laptop with cpu and even aws cxx machine with cpu huge improvement so that we can try a lot more models cheers any other easy way to set up deep learning environment is welcomed let's discuss about that so our life can be easier edit apr i have figured out the way to run keras with gpu cat keras floyd requirements txt then use command for example floyd run gpu env tensorflow py python cifar cnn py evan,public,hw9
csv file too large,i have an output csv file which is mb and autolab does not allow me to upload it so i'm wondering whether i am doing anything wrong and if there's anyway to fix this problem thanks,public,hw9
rs convergence criterion time,hi i am training the non validation set what is a convergence criterion for updates for rs also is this process supposed to take very long thank you,public,hw9
rmse omega,what is omega test it says omega denotes the indices of test ratings but i don't understand what omega test is normal rmse calculations usually just take the square root of the mean of r ij r ij,public,hw9
clerical mistakes in matrix factorization,hi the image is from page of whiteboard on matrix factorization should it be u i v j t instead of u i t v j thx edit does it because all vectors are actually column vectors maybe that's why matt write so,public,other
autolab down,hello my partner and i tried posting our answers to autolab and we are not getting a response is autolab down thanks michael,public,hw9
rs best way to preprocess data,hi what is the best way to handle rows with missing rows is removing the rows the best option or is there a better way to handle it,public,hw9
rs approximation error,hw rs when checking if convergence is reached using approximation error mse of residual matrix only the observed entries what's a reasonable criterion value of mse to use thank you,public,hw9
what's the coverage of the final exam,hi will the final exam cover all the lecture of this semester or just those after the midterm thanks,public,exam
lecture matrix factorization case and case,hi all can anyone tell me what does low rank factorization case and case here want to do for case i have convinced myself that for a matrix r rank r k then there exists u and v with rank u rank v k that r uv' but when in case rank r k matt said r uv' my question in case why do we need to specify that k min m n i prove that for any k min m n there exists u and v that r uv' proof can be found here wiki rank factorization in its example rank a rank c rank f and a cf in case r uv what are u and v here how do we get these u and v also if we know what u and v are why r uv please clarify thanks evan,public,other
words in dataset not in corpus data,i'm doing the nlp task and i'm trying to find vector representations of the words i realize that some of the words in the dataset do not exist in the corpus some of these words are really strange words that i've never seen before so i can't find a synonym so what should i do for these words how should i use vectors to represent them thanks,public,hw9
missing entry in matrix,i am trying to convert the dat file loaded as np column array into a matrix where each row is the user and each column is the movie after preprocessing if we deleted a user's rating on a movie should i use as the corresponding entry in my matrix,public,hw9
video,when will the video of information theory be uploaded,public,logistics videos
rs after preprocessing,for rs the writeup says you need to do some pre processing to ignore them we recommend first try to use movie user mean prediction to see if you have processed data correctly is this saying that we are recommended to after doing preprocessing use movie user mean prediction and submit it to autolab to see if the results is reasonable thank you,public,hw9
how to view hw feedback,how can i view the feedback that the peer reviewers gave to my hw submission i don't find a way to do it on easychair,public,hw5 hw9
loading training dataset,how should we load the dat training dataset file into python thank you,public,hw9
matrix factorization method,for recommender systems do we have to do nmf for matrix factorization or can we decide to use other approaches such as probabilistic matrix factorization,public,hw9
best student written summaries of hw papers,i chose recommender systems for hw but i'm thinking about switching to nlp for hw one of the summaries i reviewed was excellent for recommender systems and if there were others that are very good they could help students in hw who decide to switch to check their understanding maybe the instructors could post a few of the highly reviewed student summaries done in hw edit also even if the instructors don't post them they are busy as well if your own summary was highly reviewed feel free to post it,public,hw9
