title,body,visibility,tags
highlighter to exam,would i be allowed to highlight things on the exam with a highlighter as i'm reading through it,private,final
spring prob task,this is problem task why is the following the solution thank you,private,final
practice final q task,why is there a byte allocation error for short,public,final
bit operation,for task of problem in spring final i did x is since which is the maximum number that an unsigned char bits can have when we do x x x is still since the leftmost bit in this case fills up the empty spot signed char x will not change the bit pattern finally int signed char x will just expand the bits to bits where the additional spots on the left are filled up by 's so i thought the final result y is x ff at which part am i wrong thank you,public,final
sizeof void,does sizeof void return bytes thanks,public,final
s final prob,in this code what does str become after the for loop terminates when e g x,public,final
casting question,if you cast a integer down to a smaller type say short is the value of that integer going to change,public,final
not a question about material but,i know this is probably a hard question to answer might not even be something anyone can answer but i was wondering how the difficulty of the final compares to the difficulty of the previous two midterms in this class i'm right on the border in this class and i desperately need a c in order to take higher level cs classes i'm not sure it'll happen i feel like i've studied a lot but for some reason in this class i never perform as well i think on exams i'm just really worried i know there's not much i can do at this point since the final is in a little over three hours but i guess i'm just looking for words of comfort or something i can't take any other cs course besides if i dont get a c in this class so i'm really terrified for this exam also thanks so much for all the help this semester would not have even gotten to this point without the course staff lol,private,final
final exam reminders,a reminder of the rooms for the final exam tonight in doherty hall please go to the room you are assigned if you don't we might send you to another room and delay your exam bring your student id or photo id please use the restroom before the exam begins sections a aa b bb dh sections c cc d dd dh sections e ee f ff g gg dh a sections h hh i ii j jj k kk p dh sections l ll m mm n nn o oo pp dh students with approved accommodations dh pm arrive minutes before your exam begins so you can get a seat and get prepared for the exam if you arrive late you will not be given extra time good luck on the final tonight we wish you the best tom iliano all the tas,public,final
s final prob,these are some of the problems in problem of spring final can someone explain why these are the solutions,public,final
ternary search trie,i've seen ternary search tries come up a couple times in the practice exams is this something that was taught in previous years but not this year and are we supposed to know them thanks,public,final
final question,in task of final question complexity square when should we use the notation for general subset and when should we use the notation for proper subset i e the answer for this question are all either equal or proper subset but i'm wondering when to use the notation for the general subset thanks,public,final
clac revisited spring final,for task how do you know what arguments if icmplt and goto take in,public,final
calloc vs malloc,what's the fundamental difference between these two also what's the distinction between static and dynamic thanks,private,final
stack allocation,hi isn't a deallocated when we try to return it since it is on the stack,public,final
final question task,why do we need to increase the amount of tokens by,public,final
union find complexity comparison,in the table that anna posted last week about the complexity of different methods of union find it says simple union find without height tracking is o e and union find with height tracking is o e loge isn't o e loge more costly than o e but i thought union find with height tracking is supposed to be more efficient thank you,private,lectures
question task,practice exam q task if n is very big won't u u cause overflow,public,final
exam question task,in this task is it necessary to add the line t left null,public,final
final question,assert bt member b u bit uint sizeof unsigned int why is it sizeof unsigned int shouldn't it be the length of u and why is u equal to sizeof unsigned int,public,final
final question task,why is u w,public,final
q task,the array is int a why x should be x instead of,public,final
type of ints,in lecture the notes say that c annoyingly does not define whether char is signed or unsigned this is implementation defined does this apply to ints as well what would you do if you see a char type and don't know whether or not it is signed or not,public,final
casting,it was mentioned in review session that we shouldnt cast from a large data type to a smaller one but in the notes it says we can if the smaller data type can accommodate the number will the compiler throw an error or is it just stylistically wrong,public,final
s i j k,nevermind,private,final
casting scenarios,in recitation worksheet pg there are scenarios of casting numbers in c it says casting from small signed to large signed makes the value sign extended with the sign bit does this mean the leftmost bit fills up the additional spots e g becomes moreover just wanted to make sure when we cast from signed to unsigned of the same size is the new number old number int max thanks,private,recitations
practice final question,after size insertions we reach limit and will have to increase the array size again allocating a new array with limit elements and copying limit size elements from the old array to the new array at this point we have a total of k size size k tokens i don't understand why we have a total of k tokens left would it be equivalent to saying tokens left my reasoning is that we initially charged tokens with each insert so was used for the insert operation then tokens were left in the bank out of which was used to copy over that element and the other were used for of the other tokens along similar lines won't the bound on the number of write operations for n consecutive insert operations be n,public,final
negative numbers in hex,could someone explain why x is intmin and xffff is my intuition would tell me the opposite the first bit is the sign and then after that you have the number perhaps a more general version of the question how are we supposed to represent negative numbers in hex,public,final
practice midterm question task xcalloc,unsigned char i char s xcalloc sizeof int cause undefined behavior on the next line char c s i why are the possible solutions i or what happens if the type of the array char is not the same as the sizeof argument used in xcalloc int,public,final
undefined behavior nd practice exam number,from number screen shot at pm png would n int max be a valid solution as it would cause undefined behavior in the requires statement the problem is asking for a test case that will cause undefined behavior thanks,public,final
f final prob task,in fall final's problem task writing the bit uint function the solution is when we do i and then use the operator won't that work only when the i th bit means the i th bit from the right in this case isn't the i th bit meaning the i th bit from the left thanks,private,final
ternary search trie,ternary search trie have been covered on the two of the practice finals but we haven't learned them this year are they still fair game for the final tomorrow,private,other
final exam f prob task,in f final exam problem task finding the weakest precondition for safety why is the following the solution,public,final
question about is ufs in the unionfind log c file from lecture code,in the code file named unionfind log c from lecture code source the implementation of is ufs is as below bool is ufs ufs eqs if eqs null return false if eqs size return false if eqs data null return false assert eqs size length eqs data for int i i eqs size i if ufs elem eqs eqs data i ufs rep eqs i return false return true in the for loop the second half of the if statement is ufs rep eqs i why is the eqs not a ufs if ufs rep returns true thank you,private,final
recitation checkpoint,this is the checkpoint problem in recitation among the methods of union find simple union find height tracking union find without path compression and height tracking union find with path compression the solution in the picture is using height tracking union find with path compression right all point directly to the canonical representative how would have the solution differ if we have used height tracking union find without path compression thank you,private,recitations
infix to postfix i e clac,does anyone have a good internet resource with nice examples where i can read about converting intfix to postfix to an output thanks,public,final
midterm,in my midterm i just found i got points of where its shouldn't can i get it back for the first box the x i given is greater than,private,midterm1
union find,i understand that the union find is efficient because we're basically preventing a tree from having a chain of long nodes by attaching the shorter length tree into the longer length tree but i don't quite understand how this would make the tree balanced by balanced do we mean it is balanced like the avl tree structure if so how does this happen if not why is it guaranteed that the algorithm would be reduced to log v to check for a cycle thanks,private,lectures
clac revisited spring final,i understood the first part of the solutions but i didn't get why we had to if cmplt and the code after that could someone please explain it thanks,public,final
question task,could anyone give me an example of the forth question in task int i int j int k i really can't think of a counter example thank you,public,final
final uba task resize,in task we are asked to implement the resizing strategy the solution says uba resize l l size resize rounding up but how does this explain the case where l size is an odd number say old limit l size k for some int k and in resizing strategy the new limit should be k k rounding up k but the implementation above will yield k k,public,final
practice final q task,why is u w necessary,public,final
int casting,if you are going from an unsigned int to a signed int of a different size how do you know what order to cast it in,public,final logistics
final exam given time,in the piazza post about the final exam that professor cervesato posted a few days ago it says the final exam will be minutes i was wondering usually final exams of other courses and also the past final exams of that are posted in the course website are hours i e minutes so will that not be the case for this final exam or will we be given minutes thanks,private,final
practice final question union find,for task we're asked to write eq find i don't understand the last part of it where we set u parent rcan someone explain thanks,public,final
practice exam question task,hey i was trying to do the code trace for the linked list question on the practice exam but am having trouble interpreting what the function is supposed to do can someone explain how we get the final linked list result,public,final
compiling with gcc,where can i find an explanation for what all these do gcc wall wextra werror wshadow std c pedantic example c it seems like some of the parts specifically the second part depend on this compiler to stop certain otherwise undefined behaviors am i correct,public,final
practice final amortized analysis,why do we reach the limit at size when the question description says that the old limit size,public,final
graph node height,in the union find algorithm what is the explanation for why when the root node in a graph has a height h that it must have at least a size h,public,other
generic data structures,in ecture i dont fully understand why we're using void pointers to elems what does it mean when it says with this new interface it s now possible for one program to use hash sets storing different types of elements without duplicating the hash set implementation code for example the following code could be added to the produce client couldn't it still do the same with struct produce what does it mean without duplicating the hash set implementation code,public,lectures
overflow checking,in class we've always checked for overflow using something like this assert l size max int would this also be valid assert l size l size since if there was overflow then l size would be less than l size thanks,public,final
practice final question,so i feel like i understand big o runtime but when i got to task here i was really confused on how to derive the answers how should we go about deriving these is there some general process to follow when analyzing runtime of pseudocode,public,final
amortized analysis,when we encounter an amortization analysis problem the first question usually asks how many tokens we should budget for each operation however how do we know this without working through the rest of the problem shouldn't this chronologically be the last question in an amortized analysis problem,public,final
practice final question,can someone explain why the answer to task is i don't see any way we could derive that with certainty without making assumptions,public,final
knowing when there is undefined behavior,int f int a int b int r a a a b b a b return r int g int x int y int a x int b int c c f a b c c b b b c return c so there is no undefined behavior for g x y but why is not undefined when x int max and y why is it not consider addition overflow for c int max int max,private,other
s midterm prob task,in spring midterm 's problem coordinates task the sample solution is what is it that the given buggy implementation fails the assertion thanks,private,midterm1 final
update height while rotating,in the lecture notes i couldn't figure why we do not recursively update the heights of the nodes when we left or right rotate if we have a struct such as struct node elem x node left node right int height then in our rotate right and rotate left should we not have a function update height that recursively updates the heights of the nodes,public,final
avl trees,the following is the code from the lecture but i was wondering why we needed to do fix height t and then fix height temp because we are returning the temp for the rotate right function tree rotate right tree t requires t null t left null requires is specified height t left requires is specified height t right ensures is specified height result tree temp t left t left t left right temp right t fix height t fix height temp return temp thanks,private,written8
clarifying undefined behavior,int main int a xcalloc sizeof int all elements initialized to zero int b for b a b b printf d b free b return why is b not permanently assigned to a so that free is valid is it because it is in the for loop is a way to fix the reading uninitialized memory b undefined behavior is allocate memory for b in beginning if you allocate the memory for b initially the values array elements for b would be the same as a because of the for loop correct,private,written12
read only memory,just want to make sure for something like int a is in read only memory while a is in the stack correct,public,other
path compression,what is path compression,public,final
practice final spring question task,why is it not undefined behavior when x int max from my understanding if x int max upon definition the variable c would equal int max and then when it's being reassigned in the line below it would be c int max int max and that should cause overflow,public,final
question about pointer arithmetic,why do the last lines change the value a holds taken from lecture int a xmalloc sizeof int for size t i i i a i i i i i int x a x also would it be any different if we wrote int x a x thanks,public,final lectures
practice final q task,the solution said i or are possible solutions why isn't every i from to possible solution thanks,public,final
tries,two of the three practice finals discuss the data structure known as a trie but we never discussed this in lecture based on the wording of the questions i can't help but think this structure was covered in previous iterations of the course are those types of questions still fair game for the exam i e what type of familiarity should we have with the data structure if any edit found another question about this after i posted this,private,final
never again,wanted to bring this to your attention http neveragain tech since in this class we've been learning about efficient data structures and algorithms it's important to also be thinking about how they are put into practice in the world if you feel compelled i'd encourage you to add your name to the list and commit to keeping your actions ethical probably a lot of us will take internships or jobs at tech companies in the near future and it's important to think now about your beliefs so that if and when you're asked to violate them you'll recognize it and be able to act appropriately,public,other
midterm final question on amortization,hi i wanted to understand why the last amortization question on midterm has an answer of and not the first task takes tokens a fact that i understand however for rehashing both the current and previous element the answer says it requires and tokens respectively but this contradicts that fact that rehashing uses tokens as proved in the second to last question thanks,public,midterm2
review session wednesday at pm,i just wanted to remind everyone that there will be a review session on wednesday pm in ph we'll be going over the most important topics we covered over the course of the semester and we'll answer any questions you might have,public,logistics final
practice final question task,for practice final q task i don't understand why k sizeof unsigned int can someone explain to me please thanks,public,final
ufs,in the is equiv function for union find searches bool is equiv ufs eqs int i int j requires is ufs eqs requires ufs elem eqs i requires ufs elem eqs j int i i int j j while eqs data i i i eqs data i while eqs data j j j eqs data j return i j we are checking to see if i and j have the same representative in the array correct then wouldn't this return false if we don't have path compression as the data array doesn't store the same thing also if one of our j or i is a representative of the other it will have a height in the array so wouldn't that also return false if i am completely wrong i apologize i just was slightly confused thank you,public,final
union find,bool is equiv ufs eqs int i int j requires is ufs eqs requires ufs elem eqs i requires ufs elem eqs j int i i int j j while eqs data i i i eqs data i while eqs data j j j eqs data j return i j hi this is an excerpt of code from our last lecture on union find and i don't quite understand what this function is doing more specifically i don't understand what the while loop is doing can someone please explain,public,final
question on practice final spring,for question task why is the assert statement assert true wouldn't sq eventually overflow int max if n was high enough,public,final
c vm not graded yet,i had an extension for c vm until saturday so i turned it in at on saturday but it still hasn't been graded could someone rerun the tests on my assignment so i can know my score,private,c0vm
quick question about amortized analysis,in the lecture about amortized analysis and unbounded arrays it says that the amortized cost of arr add is tokens i'm not understanding why this is the case from my understanding token is used for the actual array write another token is used for when the array gets filled and we would need to copy all the elements in the array into the new resized one so what purpose does the rd token have,public,final lectures
practise final question task,for task in question practise final why is the answer x instead of x the length of the array should be,private,final
runtime complexity of bfs and dfs,hello i was going through the notes again and somewhere in the notes we walk through bfs and prove it is o v yet wouldn't it just be min e v i was just wondering what the runtime complexities of bfs and dfs are thanks,public,final
system stack,can i get a brief explanation of the system stack and why memory on the system stack need not be freed what's the difference between this and xmalloc xcalloc and assuming i'm correct memory initialized by xmalloc xcalloc is put on the heap right so what's the difference between the heap and system stack,public,final
practice final fall question task,in the answer to this question why do they go up to k when i and k where i even though the loop guard says k,public,final
practice final question,can someone explain task of question i have no idea what's going on,public,final
quick question about allocating structs,hi this is kind of a dumb question but i've always been confused about allocating structs for something like this lecture pg typedef struct adjlist node adjlist struct adjlist node vertex vert adjlist next typedef struct graph header graph struct graph header unsigned int size adjlist adj graph graph new unsigned int size graph g xmalloc sizeof struct graph header g adj xcalloc size sizeof adjlist why do we write sizeof struct graph header and sizeof adjlist why do we not do sizeof graph and instead use sizeof struct graph header also why does graph have the field adjlist adj and not adjlist adj thanks,public,other final
sizeof,why is k sizeof unsigned int,private,final
hash tables separate chaining,so on one of the homeworks hw we inserted elements into a hash table by simply adding them on at the end yet on the practice midterm we added them in at the beginning is there a preferred way of doing this on the final thanks,public,final
practice final question,on task why is the answer assert false wouldn't overflow only be a problem if x int min x int max y int min,public,final
practice final,on question task the solution key says n or is there any reason we couldn't just give it int max so that the arithmetic in the requires statement would immediately cause overflow or even give it a so that the a accesses an array out of bounds,public,final
b question,why is line x fff i thought aadf adds f bytes so why isn't the answer x fff because that is x fff bits,public,written13
code for cc and coin,i really want to know how the cc compiler works especially the b byte code option i found the binaries but i would really like the code itself additionally i believe it would be really helpful to use as a basis for a c interpreter but i'm guessing there are no ways for me to get access to that,public,other
grade cutoffs,do we know what the final grade cutoffs will be ex if we get will that be a c,public,logistics
today's recitation,in today's recitation recitation we couldn't go over checkpoint and due to time constraint for checkpoint is an answer,private,recitations
autolab output question,valgrinding c vm tests task chararrays bc valgrind failed safety valgrind detected errors points what does this error mean,private,c0vm
c vm grades part ii,prog c vm part ii is graded the grades are posted on the course web page click on the grades menu authenticate and you'll see your grades for this homework with bonus and a projection for future assessments this is a good way to get a sense of where you are headed in the course and take action if it does not match your expectations the participation entry accounts for all quizzes labs and recitations except for today here are some statistics for prog normalized as percentages w bonus w o bonus max t min t avg median stddev you can access test outcomes on autolab we do occasionally make mistakes if you feel we incorrectly graded a question you have days from now to submit an appeal using the grade appeal procedure on the course web page we will not consider email or oral requests,public,c0vm
your lights out score,hi gunnar you lost a point on lights out because your program timed out on one of the cases test lightsout on boards x moves txt test failed instead of returning success as expected the autograder timed out after seconds please reply in a followup if you have any other questions thanks jonathan,private,lightsout
office hours for finals week,here's the office hours schedule for the rest of the semester we will continue to hold office hours as normal until after sunday friday weh saturday ghc sunday ghc there will be no office hours on monday or tuesday there will be a review session on wednesday pm pm in ph,public,logistics final
task,for task i agree that the nd blank is o n when i was approaching the problem i came to that solution however i wrote my answer as o n n n is equivalent to n n n the largest power would be n n so wouldn't o n be equivalent to o n n,private,written13
c array header type not defined,as stated by the compiler don't we need values from that struct,public,c0vm
task grading,will task autograde immediately after the deadline passes or sometime afterwards thanks,public,c0vm
task questions,what is the syntax for doing pointer arithmetic for instance right now i have the following code for my aaddf case but it's throwing a compilation error at line and saying that i can't do arithmetic with a this may be a related question but what are we supposed to put for the type of all the pointers called a in the writeup instructions for the load and store cases in task i've been trying void but that seems to be not working all around,private,c0vm
how do i valgrind the c vm file locally,how do i compile the c vm c file so that its possible to use valgrind locally,private,c0vm
commenting out code,my code won't compile from task if i submit with task commented out so that i can get points for previous tasks will i still get points for task bc i tried even though it doesn't compile,public,c0vm
task autograder timed out what is this case testing,does anybody know what this is testing i can't reproduce this bug on my system test c vm tests task eq bc expect successful execution test failed expected successful execution actual outcome autograder timed out after seconds hint full conditional tests failed,public,c0vm
clarification from anna's lecture on,pseudocodenaive kruskalkruskal with simple union find random tree merging kruskal with height tracking union find merge small tree into large tree kruskal with height tracking union find and path compressionsort edgese log e e log e e log e e log e for each edge e timese timese timese times check for cyclee dfs or bfs v because tree is unbalanced log v because tree is balanced barely more than o if no add edge because have already searched through tree and found where to insert edge because have already searched through tree and found where to insert edge if yes skip edge check if have v edges overall runtimee log e e e in o e e log e e v in o e log e e log e e log v in o e log e e log e e almost constant in o e log e this is the table i wrote up on the board which may have been hard to read so i reproduced it here the point of the table is to show how we went from quadratic time to e log e time that is we got to a point where the most expensive part of the algorithm was the initial sort,public,lectures
autolab is saying i'm calling c memory error when im not,test c vmd tests task error bc expect c user error on string of length tests failed hint athrow and assert actual outcome c memory error was called i'm confused as to why because no where in my code do i call c memory error for athrow and assert i just called the memory errors it gives in the writeup why might this be happening,public,c0vm
information about the final,some information about the upcoming final it is taking place on thursday december from pm to pm in various rooms in doherty hall dh as follows building map sections a aa b bb dh sections c cc d dd dh sections e ee f ff g gg dh a sections h hh i ii j jj k kk p dh sections l ll m mm n nn o oo pp dh students with accommodations tom will be sending you email if you are expecting accommodations email him at tcortina cs cmu edu everybody must bring his her student id you must arrive on time if you arrive late you will not be given extra time the exam has a duration of minutes the topics are pretty much everything we have covered in class throughout the semester including the last lecture specifically topics from part i of the course are at the basis of everything we did since and will appear throughout the exam topics from part ii data structures are likely to be tested using the c language now that we know it any topic from part iii c virtual machines graphs is fair game looking at the contents of the practice finals written assignments labs and recitations will provide you with a good idea of what to expect we will ask you to write some c code maybe c c code too but we won't be picky about minor issues of syntax we will take points off however for invalid contracts and some the differences between c and c c we highlighted in part iii all you can have with you is a single double sided x handwritten cheat sheet the exam will contain nothing that can be just looked up in your notes or in the handouts and we will provide you with all the information you need to solve each question writing a page cheat sheet is an incredibly effective way of reviewing concepts even if you never end up looking at it three yes practice finals with their solutions have just been posted and can be accessed from the schedule tab of the course web page we won't be releasing others if you want additional practice please go over past labs recitations and written hw programming assignments are way more complex than what we can ask in an exam for code questions some students found it useful to try to write their own code for algorithms discussed in the lecture notes before turning the page and looking at the solution how to get the most out of practice exams give yourself uninterrupted minutes to complete each one do not look at the solution for an exam until you are completely done with it ask questions on piazza office hours and the review session there will be a review session on wednesday november th from to pm in porter hall if you have any doubts that's a good opportunity to get them resolved,public,final
written grades,written is graded the grades are posted on the course web page click on the grades menu authenticate and you'll see your grades for this homework with bonus and a projection for future assessments this is a good way to get a sense of where you are headed in the course and take action if it does not match your expectations the participation entry accounts for all quizzes labs and recitations as of today here are some statistics for written normalized as percentages w bonus w o bonus max t min t avg median stddev you can access your graded homework on gradescope there you will find you raw score without bonus together with feedback about what each of you did correctly and what you missed we do occasionally make mistakes if you feel we incorrectly graded a question you have days from now to submit an appeal using the grade appeal procedure on the course web page we will not consider email or oral requests,public,written13
task string errors,hi there basically all of my tests that return strings fail as follows test c vm tests task returnstring bc expect successful execution test failed expected successful execution actual outcome c memory error was called hint functions that return strings what steps can i take towards solving this,public,c0vm
recursive functions not returning properly,my c vm c is failing every recursive function like in dsquared c when i try to print out the value of sum before and after every operation sum keeps getting replaced with the dsquared a a value instead of adding together sum and dsquared is this a problem with my invokestatic and or return or a problem with my arithmetic operations the arithmetic ops passed autolab,private,c0vm
final review,will there be a final review this weekend,public,final
task large goto error,hi there i currently have this error test c vmd tests task goto bc expect successful execution test failed expected successful execution actual outcome an assertion failed unexpectedly hint conditionals and large positive goto how can i test for this i've already stored my values as int t that preserve sign ness what else can i do futhermore i've tried int t and int t,public,c0vm
task expected c user error even though that's what's apparently happening,i'm getting this error from autolab on task test c vmd tests task aldc bc expect c user error on string of length tests failed hint problem with aldc pop or athrow actual outcome status code possibly the result of c user error on a string of length it's expecting a user error report and apparently that's what i'm giving it what's the issue here,public,c0vm
practice finals,when will the practice finals be up,public,final
return case s is not a c v stack t,when i try to push the return value onto the operand stack i get the error message assertion is c v stack s ' failed i feel like it might be a problem with the way i push the frame in invoke static but i'm not sure since p v and pc all seem to be working anyone know what's happening thanks,public,c0vm
c vm test hellosir c,all my tests are working fine except for the hellosir c which is supposed to print hello but instead prints hello i have no idea what might be causing this thank you,public,c0vm
how do i install valgrind on a new machine,title,public,c0vm
sizes in struct,struct me tint a tchar d tstruct me next tshort c int main tstruct me a xmalloc sizeof struct me tfprintf stderr struct a zu sizeof a tfprintf stderr struct a zu sizeof a tfprintf stderr struct a a zu sizeof a a tfprintf stderr struct a d zu sizeof a d tfprintf stderr struct a next zu sizeof a next tfprintf stderr struct a c zu sizeof a c t t reads struct a struct a struct a a struct a d struct a next struct a c from this i see that since a is a pointer to a struct the size of a is by default and that is why a a a d and a next have sizes as well but i don't get how size of a becomes when the sum of all sizes of the struct elements is do structs allocate space for size for each element by default,public,lectures
void pointer arithmetic,given that we can cast void into char to perform pointer arithmetic if we do so for a elems in aadds does that mean that instead of using a elt size we use sizeof char byte,public,c0vm
office hours today,will there be office hours for c vm today dec,public,c0vm
final classrooms,which rooms are we in for the final the final exam schedule lists six different classrooms,public,final
graph free function in lecture code,graph graph new unsigned int size graph g xmalloc sizeof graph g adj xcalloc size sizeof adjlist g size size ensures is graph g return g void graph free graph g requires is graph g for unsigned int i i g size i adjlist l g adj i while l null adjlist tmp l next free l l tmp free g the code from website has graph new and graph free functions are written this way i see that the free function loops through every index in the array of adjlists and frees them then it frees the graph itself which is xmalloced i was wondering why the code doesn't have a free g adj which would free the array of adjlists which is xcalloced,public,lectures
initializing all memory to zeros,for new it says that we have to initialize all memory requested by c to zeros does xmalloc take care of that or are you looking for something like xcalloc where if it is a char for example the value is initialized to ' ',private,c0vm
conditional jump or move depends on uninitialised value s,the source of the issue seems to arise from when i'm trying to invoke the native function on the arguments array in task invokenative because of that i'm honestly not sure if i'm calling the native function correctly in the rd line of the code snippet below here's what i have retrieve address of g from the native function table is a function pointer derived from native function array native fn fxn addr native function table fxn i invoke g on the addr array by calling the function pointer on the arguments c value retval g fxn addr v g valgrind tells me there is a conditional jump or move depends on uninitialised value s error on the last line,private,c0vm
offsets off by three,hi there on task it appears that all my offsets are off by when i view my bc entering the body of my loop is described as in the comments after the conditional but puts me bytes deep into the body likewise o is so my program fails when i manually change that to it works how should i interpret this,public,c0vm
task error invalid opcode x,i'm testing invoke static on dsquared c and i'm getting the error that x is an invalid opcode when it should be vload i'm not really sure why i'd be getting this error this error occurs immediately after the first call of dsquared a b,public,c0vm
stack empty assertion failure,i'm working on task and i keep getting this error when trying to run tests myself like a simple for loop test and also isqrt c v pop assertion c v stack empty s ' failed i know what's happening but i don't know how to fix it i looked at the bytecode i'm executing versus what i expect and it seems to skip one vload operation which means there's one less thing on the stack and so when i try to pop two things off of s for iadd it's failing my vload passed the task autolab tests though which is why i'm confused because in c vm c i'm just writing different cases not dictating what case should be executed when if that makes sense i'm unsure of why my c vm implementation would skip a whole bytecode op any advice thanks,private,c0vm
confused about pointers in task amload amstore,this is my current implementation of amload and amstore can you tell me how wrong this is if at all case amload pc int ptr ptr int pop ptr s push ptr s ptr ptr break case amstore pc int x int pop ptr s int ptr ptr int pop ptr s ptr ptr x break,private,c0vm
task pointers,are pointers in memory just int pointers ie int,public,c0vm
allocating arrays within a struct,when i attempt to allocate an array inside a struct any attempt to access elements of the array result in undefined behavior or a null pointer i believe it is not allocating the array in this particular circumstance other than this my code works in every circumstance tested including allocating arrays that are not stored in structs and allocating and using structs any insight as to what could be happening thanks,public,c0vm
contract style,is it bad style to put c contracts in loops for instance if i have a function that checks that an entry in some particular column of a d boolean array is false can i iterate a requires statement in a for loop with respect to the row index this is mostly for sake of curiosity i've never seen it done before but i'm not sure why it shouldn't be,public,other
goto error,when i run isqrt it gives me this output it continues calling nop like that for a while and then eventually throws a segfault error since there's a huge jump in pc after the program calls goto i'm guessing my error is in this case but i can't figure out what's wrong since i essentially increment pc here the same way as i do in the other control flow cases would someone help me debug this here is my code,private,c0vm
double free or corruption,i'm working on debugging task and running a test case where i call a function i wrote from the main function from print statements i know that the helper function gets to the return part and that it gets the correct value but in the return function of my code there is an error when i try to free the array v the line is literally just free v the error i get is before frame now n error in c vmd' double free or corruption out x ffe b dd i don't understand what this could be can anyone help me here is the return part of my code case return c value retval c v pop s assert c v stack empty s ifdef debug fprintf stderr returning d from execute val int retval endif the next line gets printed fprintf stderr size is lu sizeof v free v the next line does not get printed fprintf stderr test print line c v stack free s if stack empty callstac stack free callstac return val int retval fprintf stderr before frame now n frame now frame pop callstac s now s p now p pc now pc v now v free now c v push s retval fprintf stderr actually done returning now break,private,c0vm
